Docket Number,Violation Number,Issued Date,Issuing Department,Last Hearing Date,Property Address,Violation Type,Entity or Person(s),Disposition Description,Total Fines,Total Administrative Costs,Interest Amount,Collection Costs or Attorney Fees,Court Cost,Original Total Amount Due,Total Paid,Current Amount Due,X Coordinate,Y Coordinate
12CP077409,P003361499|P003361500|P003361876|P003361877,10/22/2012,POLICE,12/07/2012 9:00:00 AM,5233 S BISHOP,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK NATL TRUST, ",City non-suit,0,0,0,0,0,0,0,0,41.7985482,-87.66080908
12CP077410,P003361491|P003361492|P003361493|P003361494,10/22/2012,POLICE,12/07/2012 9:00:00 AM,928 W 54TH ST,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required,"WELLS FARGO BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.79618315,-87.64885988
12CP078880,P003256535|P003256536|P003256551|P003256552|P003256561|P003256562|P003256573|P003256574,10/22/2012,POLICE,12/07/2012 1:00:00 AM,4836 W SUPERIOR,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"GMAC MORTGAGE LLC, ",City non-suit,0,0,0,0,0,0,0,0,41.8942211,-87.74729359
12CP078883,P003256307|P003256308|P003256337|P003256338|P003256367|P003256368|P003257102|P003257103,10/15/2012,POLICE,12/07/2012 1:00:00 AM,4930 W HURON,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"WELLS FARGO BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.8933722,-87.74947453
12CP079399,P003830876|P003830877|P003830878|P003830879|P003830880|P003830881,11/01/2012,POLICE,01/04/2013 9:00:00 AM,730 W 48TH PL,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"CITI MORTGAGE, ",City non-suit,0,0,0,0,0,0,0,0,41.8063303,-87.64427822
12CP079400,P003830863|P003830865|P003830867,10/30/2012,POLICE,01/04/2013 9:00:00 AM,2522 W 39TH PL,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.,"DEUTSCHE BANK AND TRUST, ",City non-suit,1300,0,95.49,0,0,1435.49,1434.5,0,41.8222003,-87.68818362
12CP079400,P003830864|P003830866|P003830868,10/30/2012,POLICE,01/04/2013 9:00:00 AM,2522 W 39TH PL,13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK AND TRUST, ",Default - Liable by prove-up,1300,0,95.49,0,0,1435.49,1434.5,0,41.8222003,-87.68818362
12CP080416,P003355002|P003355003|P003355004|P003355005|P003355006|P003355007,10/13/2012,POLICE,12/07/2012 11:00:00 AM,110 W 91ST PL,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"JP MORGAN CHASE BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.72862211,-87.62668077
12CP080423,P003830917|P003830919|P003830920|P003830921|P003830922,11/06/2012,POLICE,01/04/2013 9:00:00 AM,4343 S WHIPPLE,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required,"WELLS FARGO BANK, ",Default - Liable by prove-up,3800,0,15.27,0,0,3855.27,3985.38,-130.11,41.81415825,-87.70026525
12CP080423,P003830918,11/06/2012,POLICE,01/04/2013 9:00:00 AM,4343 S WHIPPLE,13-12-140  Watchman required,"WELLS FARGO BANK, ",Dismissed for want of prosecution - No service,3800,0,15.27,0,0,3855.27,3985.38,-130.11,41.81415825,-87.70026525
12CP080424,P003830894|P003830895|P003830896|P003830897|P003830898|P003830899,11/05/2012,POLICE,01/04/2013 9:00:00 AM,3829 S ROCKWELL,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"WELLS FARGO BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.8239127,-87.68951296
12CP080426,P003830875|P003830900|P003830901|P003830902|P003830903|P003830904,11/04/2012,POLICE,01/04/2013 9:00:00 AM,2015 W 52ND,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HOUSING URBAN DEVELOPMENT, ",City non-suit,0,0,0,0,0,0,0,0,41.7987477,-87.67511983
12CP080426,P003830875|P003830900|P003830901|P003830902|P003830903|P003830904,11/04/2012,POLICE,01/04/2013 9:00:00 AM,2015 W 52ND ST,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HOUSING URBAN DEVELOPMENT, ",City non-suit,0,0,0,0,0,0,0,0,41.7987477,-87.67511983
12CP080428,P003830929|P003830930|P003830931|P003830932|P003830933|P003830934,11/07/2012,POLICE,01/04/2013 9:00:00 AM,4353 S WELLS,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit,0,0,0,0,0,0,0,0,41.81483985,-87.63204522
12CP080430,P003765128|P003765129,11/05/2012,POLICE,12/07/2012 1:00:00 AM,3938 W MONROE,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"DEUTSCHE BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.87986157,-87.72418054
12CP080436,P003765140,11/05/2012,POLICE,12/07/2012 1:00:00 AM,1106 N KEYSTONE,13-12-125  Duty to secure and maintain vacant building.,"J P MORGAN CHASE BANK, ",City non-suit,300,0,0.42,0,0,340.42,340.42,0,41.90104468,-87.72759341
12CP080436,P003765141,11/05/2012,POLICE,12/07/2012 1:00:00 AM,1106 N KEYSTONE,13-12-140  Watchman required,"J P MORGAN CHASE BANK, ",Default - Liable by prove-up,300,0,0.42,0,0,340.42,340.42,0,41.90104468,-87.72759341
12CP080437,P003765142|P003765143,11/05/2012,POLICE,12/07/2012 1:00:00 AM,4214 W WILCOX,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"CITI MORTGAGE INC, ",City non-suit,0,0,0,0,0,0,0,0,41.8790246,-87.73114159
12CP080439,P003765146|P003765147,11/05/2012,POLICE,12/07/2012 1:00:00 AM,2905 W WILCOX,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"GMAC MORTGAGE LLC, ",City non-suit,0,0,0,0,0,0,0,0,41.87901835,-87.69901584
